2010-11-12,Tampa Bay Lightning,1,Pittsburgh Penguins,5,,
2010-11-13,Pittsburgh Penguins,4,Atlanta Thrashers,2,,
2010-11-13,Ottawa Senators,2,Boston Bruins,0,,
2010-11-13,Washington Capitals,2,Buffalo Sabres,3,OT,
2010-11-13,Colorado Avalanche,1,Detroit Red Wings,3,,
2010-11-13,New York Islanders,1,Los Angeles Kings,5,,
2010-11-13,Carolina Hurricanes,2,Montreal Canadiens,7,,
2010-11-13,Chicago Blackhawks,3,Nashville Predators,4,SO,
2010-11-13,Florida Panthers,2,Philadelphia Flyers,5,,
2010-11-13,St. Louis Blues,3,Phoenix Coyotes,5,,
2010-11-13,Calgary Flames,3,San Jose Sharks,4,,
2010-11-13,Vancouver Canucks,5,Toronto Maple Leafs,3,,
2010-11-14,Anaheim Ducks,2,Chicago Blackhawks,3,OT,
2010-11-14,Edmonton Oilers,2,New York Rangers,8,,
2010-11-14,Minnesota Wild,4,Tampa Bay Lightning,1,,
2010-11-14,Atlanta Thrashers,4,Washington Capitals,6,,
2010-11-15,New Jersey Devils,0,Boston Bruins,3,,
2010-11-15,Vancouver Canucks,3,Buffalo Sabres,4,OT,
2010-11-15,St. Louis Blues,3,Colorado Avalanche,6,,
2010-11-15,Ottawa Senators,1,Philadelphia Flyers,5,,
2010-11-15,New York Rangers,3,Pittsburgh Penguins,2,OT,
2010-11-15,Los Angeles Kings,3,San Jose Sharks,6,,
2010-11-16,Anaheim Ducks,1,Dallas Stars,2,,
2010-11-16,Philadelphia Flyers,0,Montreal Canadiens,3,,
2010-11-16,Nashville Predators,4,Toronto Maple Leafs,5,,
2010-11-17,Florida Panthers,2,Atlanta Thrashers,1,,
2010-11-17,Ottawa Senators,1,Carolina Hurricanes,7,,
2010-11-17,Phoenix Coyotes,3,Calgary Flames,1,,
2010-11-17,San Jose Sharks,3,Colorado Avalanche,4,OT,
2010-11-17,St. Louis Blues,3,Detroit Red Wings,7,,
2010-11-17,Chicago Blackhawks,5,Edmonton Oilers,0,,
2010-11-17,Columbus Blue Jackets,5,Los Angeles Kings,3,,
2010-11-17,Anaheim Ducks,1,Minnesota Wild,2,OT,
2010-11-17,Tampa Bay Lightning,4,New York Islanders,2,,
2010-11-17,Boston Bruins,3,New York Rangers,2,,
